Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM,^DJI
2010-01-01,5.873429298400879,44.83705520629883,31.336055755615234,47.22177505493164,37.40209197998047,15.887499809265137,16.249786376953125,44.20600891113281,25.738922119140625,123.5038833618164,21.028976440429688,28.13974380493164,77.92643737792969,13.441119194030762,43.88153076171875,28.402616500854492,18.54326057434082,43.95321273803711,57.511173248291016,23.836685180664062,21.720592498779297,13.762149810791016,42.3001823425293,37.531558990478516,27.461578369140625,18.812604904174805,15.317957878112793,26.3553466796875,40.203853607177734,40.23788070678711,10067.330078125
2010-02-01,6.2575297355651855,43.403316497802734,31.91552734375,49.21662902832031,41.12458419799805,16.987499237060547,17.59489631652832,44.316341400146484,27.210968017578125,129.84011840820312,23.42392349243164,29.246665954589844,80.9635009765625,14.22403335571289,43.97926330566406,30.64945411682129,18.020286560058594,44.95294952392578,57.26824951171875,23.02507209777832,22.098281860351562,14.59327507019043,43.80139923095703,38.95370864868164,28.177249908447266,19.557952880859375,15.280540466308594,25.7631778717041,40.685420989990234,40.5938720703125,10325.259765625
2010-03-01,7.186586380004883,45.8797721862793,34.481143951416016,56.9666862487793,45.305503845214844,18.612499237060547,18.82430076599121,46.924903869628906,30.407642364501953,142.0166015625,24.28729820251465,33.22673034667969,82.02274322509766,15.56696891784668,45.863304138183594,32.67960739135742,18.799610137939453,47.37278747558594,60.10401153564453,23.31850242614746,22.681737899780273,15.866951942443848,43.79447555541992,39.95365524291992,27.186962127685547,20.908035278320312,16.384449005126953,27.227855682373047,41.83668518066406,42.10330581665039,10856.6298828125
2010-04-01,7.9844489097595215,43.939998626708984,38.71063995361328,56.82548522949219,49.0827751159668,21.399999618530273,19.475154876708984,50.39645767211914,32.0887336730957,120.85102844238281,26.646272659301758,34.841468811035156,82.50241088867188,15.951075553894043,45.230220794677734,31.09491539001465,18.419334411621094,50.12057876586914,63.77196502685547,22.105384826660156,23.649707794189453,16.4528865814209,43.02614212036133,37.81476593017578,25.223047256469727,20.724288940429688,15.264683723449707,25.803695678710938,40.589359283447266,42.59989929199219,11008.6103515625
2010-05-01,7.855703353881836,39.70011520385742,33.464725494384766,50.35287857055664,44.07213592529297,21.63249969482422,16.748777389526367,45.71201705932617,29.10980796813965,120.06866455078125,25.61007308959961,31.391820907592773,80.11048889160156,14.959376335144043,41.00968551635742,28.936445236206055,17.71287727355957,47.47929382324219,57.04018783569336,21.25371742248535,19.9791259765625,15.687787055969238,42.61093521118164,36.86827087402344,24.213397979736328,16.642826080322266,14.760504722595215,23.52063751220703,38.25873947143555,38.0048713684082,10136.6298828125
2010-06-01,7.692094802856445,40.32880783081055,33.32204818725586,49.51667022705078,43.5716552734375,21.454999923706055,15.410901069641113,42.38502883911133,27.43743324279785,109.53022766113281,21.230792999267578,28.839067459106445,79.37686920166016,13.679365158081055,41.92375183105469,26.76511001586914,17.271785736083984,47.162227630615234,57.16725158691406,22.061229705810547,17.899003982543945,14.640924453735352,41.836700439453125,36.70431137084961,23.655324935913086,16.274234771728516,15.028685569763184,19.676572799682617,36.585853576660156,36.1175651550293,9774.01953125
2010-07-01,7.867018699645996,41.808570861816406,37.63740921020508,53.76998519897461,50.59303665161133,24.737499237060547,16.683687210083008,47.60039138793945,29.34498405456543,125.84257507324219,21.714935302734375,31.669048309326172,82.53959655761719,14.488166809082031,41.23518371582031,29.44820213317871,19.152050018310547,49.92594909667969,61.907657623291016,21.980541229248047,20.077058792114258,16.0201358795166,42.6597785949707,37.88114929199219,25.469280242919922,16.872299194335938,16.61870002746582,21.03993034362793,38.960479736328125,37.769344329833984,10465.9404296875
2010-08-01,7.434293270111084,39.13275909423828,33.61566162109375,48.23831558227539,47.57843780517578,27.469999313354492,14.456304550170898,46.2700080871582,28.343303680419922,114.25289154052734,21.189395904541016,28.86124610900879,79.15188598632812,12.42747688293457,40.475650787353516,26.618688583374023,19.41964340209961,52.310184478759766,56.84880447387695,22.427038192749023,18.25682258605957,15.228272438049316,41.94621276855469,36.78489685058594,26.531551361083984,15.86709213256836,17.194414138793945,19.809223175048828,38.16132736206055,37.40860366821289,10014.7197265625
2010-09-01,8.677421569824219,42.25324249267578,35.43681716918945,52.826454162597656,57.450462341308594,27.950000762939453,15.837569236755371,51.09687805175781,28.831077575683594,120.93880462646484,24.334575653076172,32.7007942199707,86.65670776367188,13.606553077697754,44.39708709716797,27.86324691772461,20.33710289001465,53.74789810180664,63.14870834350586,23.479507446289062,19.151885986328125,17.434192657470703,42.157081604003906,39.12007522583008,29.367046356201172,17.11003875732422,18.976146697998047,24.842052459716797,40.9715461730957,39.38450241088867,10788.0498046875
2010-10-01,9.204336166381836,43.84798812866211,34.95623779296875,56.08147430419922,57.39203643798828,29.017499923706055,16.531827926635742,52.07404327392578,31.47030258178711,134.78262329101562,23.735435485839844,35.059959411621094,92.76805877685547,14.2089204788208,45.67253112792969,27.548439025878906,21.47161102294922,56.0994873046875,61.33528518676758,23.40322494506836,20.85670280456543,17.783573150634766,44.68778991699219,41.74756622314453,30.264488220214844,18.00862693786621,18.912097930908203,25.123849868774414,41.46916198730469,42.3802375793457,11118.490234375
